Region and LA of residence,,,All persons,Male,Female,,"All persons per 100,000 of population","Male per 100,000 of population	","Female per 100,000 of population	"
,,,,,,,,,
E92000001,,ENGLAND6,"875,663","305,073","570,568",,"1,615","1,193","2,042"
,,,,,,,,,
E12000001,,North East,"31,855","11,540","20,315",,"1,206",906,"1,503"
E06000005,,Darlington,940,340,600,,892,662,"1,113"
E06000047,,Durham,"6,535","2,510","4,025",,"1,230",963,"1,493"
E08000037,,Gateshead,"1,990",525,"1,465",,979,544,"1,415"
E06000001,,Hartlepool,"1,660",545,"1,115",,"1,832","1,251","2,399"
E06000002,,Middlesbrough,940,350,590,,731,571,886
E08000021,,Newcastle upon Tyne,"2,150",620,"1,530",,780,533,"1,048"
E08000022,,North Tyneside,"2,815",995,"1,815",,"1,343",983,"1,678"
E06000057,,Northumberland,"4,580","1,670","2,910",,"1,381",977,"1,776"
E06000003,,Redcar and Cleveland,895,320,575,,661,479,830
E08000023,,South Tyneside,"1,550",635,915,,"1,023",877,"1,173"
E06000004,,Stockton-on-Tees,"3,035","1,130","1,900",,"1,586","1,238","1,932"
E08000024,,Sunderland,"4,770","1,895","2,875",,"1,709","1,426","1,994"
,,,,,,,,,
E12000002,,North West,"130,705","48,565","82,135",,"1,842","1,434","2,253"
E06000008,,Blackburn with Darwen,"3,710","1,190","2,515",,"2,782","1,892","3,680"
E06000009,,Blackpool,"3,300","1,250","2,050",,"2,387","1,797","2,985"
E08000001,,Bolton,"2,425","1,105","1,320",,907,851,963
E08000002,,Bury,"2,350",845,"1,505",,"1,278",963,"1,589"
E06000049,,Cheshire East,"6,800","2,305","4,490",,"1,823","1,176","2,464"
E06000050,,Cheshire West and Chester,"5,600","1,775","3,825",,"1,669","1,044","2,275"
E10000006,,Cumbria,"6,710","2,625","4,080",,"1,299",972,"1,637"
E06000006,,Halton,"2,215",875,"1,340",,"1,764","1,442","2,075"
E08000011,,Knowsley,"2,205",745,"1,460",,"1,510","1,102","1,866"
E10000017,,Lancashire,"22,045","8,470","13,570",,"1,831","1,432","2,229"
E08000012,,Liverpool,"6,350","2,130","4,220",,"1,389","1,066","1,744"
E08000003,,Manchester,"8,815","2,745","6,065",,"2,094","1,600","2,623"
E08000004,,Oldham,"2,865",995,"1,870",,"1,327",991,"1,661"
E08000005,,Rochdale,"2,955","1,035","1,920",,"1,429","1,079","1,781"
E08000006,,Salford,"6,420","2,345","4,075",,"2,853","2,247","3,476"
E08000014,,Sefton,"3,685","1,395","2,290",,"1,316","1,004","1,635"
E08000013,,Saint Helens,"2,595","1,070","1,530",,"1,443","1,209","1,683"
E08000007,,Stockport,"7,385","2,935","4,450",,"2,560","2,097","2,995"
E08000008,,Tameside,"2,475","1,080","1,395",,"1,135","1,014","1,249"
E08000009,,Trafford,"4,220","1,620","2,600",,"1,905","1,560","2,250"
E06000007,,Warrington,"2,655",980,"1,675",,"1,288",979,"1,606"
E08000010,,Wigan,"10,665","4,495","6,170",,"3,318","2,863","3,781"
E08000015,,Wirral,"12,270","4,545","7,725",,"3,804","2,884","4,706"
,,,,,,,,,
E12000003,,Yorkshire and the Humber,"91,745","31,625","60,120",,"1,719","1,250","2,192"
E08000016,,Barnsley,"2,760","1,030","1,730",,"1,126",848,"1,397"
E08000033,,Calderdale,"3,310","1,060","2,245",,"1,625","1,062","2,180"
E08000032,,Bradford,"13,940","4,905","9,040",,"2,936","2,228","3,640"
E08000017,,Doncaster,"5,310","1,715","3,595",,"1,731","1,147","2,339"
E06000011,,East Riding of Yorkshire,"6,075","2,415","3,660",,"1,683","1,274","2,105"
E06000010,,Kingston upon Hull,"3,220",905,"2,315",,"1,272",814,"1,752"
E08000034,,Kirklees,"7,030","1,960","5,070",,"1,663",977,"2,356"
E08000035,,Leeds,"6,205","2,025","4,180",,859,629,"1,085"
E06000012,,North East Lincolnshire,"2,220",780,"1,440",,"1,401","1,009","1,801"
E06000013,,North Lincolnshire,"1,695",565,"1,125",,972,642,"1,304"
E10000023,,North Yorkshire,"13,085","5,205","7,885",,"2,034","1,582","2,522"
E08000018,,Rotherham,"6,330","2,090","4,240",,"2,430","1,636","3,202"
E08000019,,Sheffield,"5,890","2,140","3,750",,"1,099",852,"1,344"
E08000036,,Wakefield,"8,035","2,350","5,685",,"2,356","1,410","3,265"
E06000014,,York,"6,640","2,475","4,160",,"3,321","2,743","3,946"
,,,,,,,,,
E12000004,,East Midlands,"110,605","37,815","72,785",,"2,343","1,661","3,030"
E06000015,,Derby,"6,495","1,715","4,780",,"2,679","1,605","3,768"
E10000007,,Derbyshire,"19,025","6,395","12,630",,"2,375","1,564","3,171"
E06000016,,Leicester,"5,230","1,445","3,785",,"1,756","1,116","2,396"
E10000018,,Leicestershire,"12,915","4,530","8,380",,"1,861","1,320","2,394"
E10000019,,Lincolnshire,"12,035","4,195","7,840",,"1,567","1,073","2,061"
E10000021,,Northamptonshire,"21,080","7,640","13,440",,"2,959","2,231","3,702"
E06000018,,Nottingham,"8,805","2,570","6,235",,"3,205","2,274","4,216"
E10000024,,Nottinghamshire,"24,545","9,150","15,390",,"2,971","2,244","3,699"
E06000017,,Rutland                                                                         ,480,175,300,,"1,167",817,"1,591"
,,,,,,,,,
E12000005,,West Midlands,"120,970","38,155","82,815",,"2,121","1,416","2,835"
E08000025,,Birmingham,"15,390","3,615","11,775",,"1,514",868,"2,148"
E08000026,,Coventry,"8,555","2,855","5,700",,"2,814","2,115","3,533"
E08000027,,Dudley,"6,910","1,825","5,085",,"2,210","1,182","3,205"
E06000019,,Herefordshire,"2,520",820,"1,700",,"1,305",794,"1,850"
E08000028,,Sandwell,"4,430","1,315","3,110",,"1,465",963,"1,970"
E06000051,,Shropshire,"6,135","2,355","3,780",,"1,808","1,354","2,295"
E08000029,,Solihull,"2,745",715,"2,030",,"1,336",692,"1,968"
E10000028,,Staffordshire,"22,985","7,830","15,160",,"2,595","1,759","3,465"
E06000021,,Stoke-on-Trent,"8,040","1,780","6,260",,"3,154","1,526","4,872"
E06000020,,Telford and Wrekin,"4,050","1,380","2,670",,"2,404","1,753","3,091"
E08000030,,Walsall,"6,150","1,795","4,355",,"2,291","1,428","3,124"
E10000031,,Warwickshire,"12,080","4,485","7,595",,"2,117","1,593","2,646"
E08000031,,Wolverhampton,"6,975","2,035","4,940",,"2,806","1,805","3,839"
E10000034,,Worcestershire,"14,010","5,355","8,655",,"2,308","1,762","2,847"
,,,,,,,,,
E12000006,,East of England,"82,555","29,415","53,140",,"1,361","1,000","1,721"
E06000055,,Bedfordshire,"2,090",850,"1,240",,"1,296","1,103","1,486"
E10000003,,Cambridgeshire,"7,750","3,120","4,630",,"1,224","1,014","1,452"
E06000056,,Central Bedfordshire,"4,270","1,465","2,805",,"1,547","1,107","1,980"
E10000012,,Essex,"14,765","5,480","9,285",,"1,010",765,"1,250"
E10000015,,Hertfordshire,"17,165","5,950","11,215",,"1,543","1,144","1,923"
E06000032,,Luton,"4,280","1,310","2,970",,"2,264","1,588","2,997"
E10000020,,Norfolk,"14,020","4,815","9,205",,"1,522","1,032","2,016"
E06000031,,Peterborough,"2,060",655,"1,410",,"1,105",774,"1,461"
E06000033,,Southend-on-Sea,"1,480",540,940,,827,626,"1,027"
E10000029,,Suffolk,"13,265","4,775","8,490",,"1,732","1,235","2,247"
E06000034,,Thurrock,"1,405",460,950,,891,636,"1,126"
,,,,,,,,,
E12000007,,Greater London,"107,675","35,865","71,805",,"1,418","1,105","1,738"
E09000001,,City of London,80,40,40,,919,803,"1,064"
E09000002,,Barking and Dagenham,"2,875",860,"2,015",,"1,680","1,234","2,121"
E09000003,,Barnet,"3,240","1,050","2,190",,926,698,"1,159"
E09000004,,Bexley,"3,225","1,235","1,990",,"1,407","1,201","1,606"
E09000005,,Brent,"6,145","2,080","4,065",,"2,161","1,635","2,726"
E09000006,,Bromley,"3,815","1,200","2,615",,"1,203",839,"1,538"
E09000007,,Camden,"1,580",560,"1,020",,765,614,921
E09000008,,Croydon,"3,720","1,120","2,600",,"1,048",714,"1,358"
E09000009,,Ealing,"6,590","2,180","4,410",,"2,222","1,668","2,797"
E09000010,,Enfield,"3,095","1,045","2,050",,"1,073",820,"1,307"
E09000011,,Greenwich,"3,265","1,045","2,220",,"1,331","1,038","1,648"
E09000012,,Hackney,"4,895","1,235","3,655",,"2,470","1,656","3,256"
E09000013,,Hammersmith and Fulham,"3,135",995,"2,135",,"2,220","1,760","2,674"
E09000014,,Haringey,"2,285",710,"1,575",,"1,085",793,"1,374"
E09000015,,Harrow,"4,010","1,355","2,655",,"1,742","1,275","2,223"
E09000016,,Havering,"3,175","1,230","1,945",,"1,293","1,094","1,485"
E09000017,,Hillingdon,"3,610","1,315","2,295",,"1,320","1,074","1,577"
E09000018,,Hounslow,"2,980","1,095","1,885",,"1,269","1,025","1,531"
E09000019,,Islington,"1,980",660,"1,320",,"1,245",955,"1,535"
E09000022,,Lambeth,"6,170","1,890","4,280",,"2,606","1,946","3,268"
E09000023,,Lewisham,"3,870","1,125","2,745",,"1,544","1,127","1,952"
E09000024,,Merton,"1,655",660,995,,963,870,"1,062"
E09000025,,Newham,"4,200","1,360","2,840",,"1,771","1,351","2,236"
E09000026,,Redbridge,"3,085","1,090","1,995",,"1,181",930,"1,449"
E09000027,,Richmond upon Thames,"1,290",510,785,,730,621,828
E09000028,,Southwark,"7,005","2,280","4,725",,"2,912","2,363","3,484"
E09000029,,Sutton,"1,735",610,"1,125",,913,699,"1,109"
E09000030,,Tower Hamlets,"3,215","1,045","2,170",,"1,640","1,191","2,119"
E09000031,,Waltham Forest,"3,100",975,"2,125",,"1,363","1,031","1,707"
E09000032,,Wandsworth,"2,550",995,"1,555",,"1,116","1,037","1,193"
E09000020,,Kensington and Chelsea,"1,495",580,920,,"1,023",883,"1,181"
E09000021,,Kingston upon Thames,"1,495",580,915,,968,866,"1,082"
E09000033,,Westminster,"3,110","1,155","1,955",,"1,437","1,182","1,724"
,,,,,,,,,
E12000008,,South East,"104,425","38,855","65,565",,"1,176",907,"1,446"
E06000036,,Bracknell Forest,900,315,585,,793,602,985
E06000043,,Brighton and Hove,"2,120",825,"1,295",,841,709,982
E10000002,,Buckinghamshire,"6,220","2,455","3,760",,"1,206",980,"1,427"
E10000011,,East Sussex,"6,865","2,775","4,085",,"1,180",961,"1,395"
E10000014,,Hampshire,"15,270","5,535","9,730",,"1,106",811,"1,395"
E06000046,,Isle of Wight,"2,675","1,105","1,570",,"1,729","1,373","2,093"
E10000016,,Kent,"20,280","8,015","12,260",,"1,315","1,070","1,558"
E06000035,,Medway,"4,745","1,650","3,095",,"1,819","1,361","2,275"
E06000042,,Milton Keynes,"3,590","1,290","2,300",,"1,503","1,178","1,828"
E10000025,,Oxfordshire,"4,790","1,570","3,220",,728,502,961
E06000044,,Portsmouth,"2,775",900,"1,875",,"1,469","1,034","1,918"
E06000038,,Reading,775,300,475,,588,474,704
E06000040,,Windsor and Maidenhead,"2,420","1,025","1,395",,"1,678","1,474","1,881"
E06000039,,Slough,"3,260","1,165","2,095",,"2,857","2,250","3,474"
E06000045,,Southampton,"5,325","1,815","3,510",,"2,506","1,926","3,148"
E10000030,,Surrey,"9,380","3,230","6,150",,828,583,"1,068"
E06000037,,West Berkshire,725,310,415,,466,406,526
E10000032,,West Sussex,"11,655","4,315","7,340",,"1,347","1,003","1,687"
E06000041,,Wokingham,660,255,405,,413,328,497
,,,,,,,,,
E12000009,,South West,"94,905","33,095","61,805",,"1,687","1,183","2,205"
E06000022,,Bath and North East Somerset,"2,260",835,"1,425",,"1,258",986,"1,548"
E06000029,,Poole,"2,345",785,"1,560",,"1,529","1,030","2,025"
E06000028,,Bournemouth,"4,060","1,780","2,280",,"2,263","2,095","2,479"
E06000023,,Bristol,"9,185","2,430","6,755",,"2,168","1,441","2,940"
E06000052,,Cornwall,"14,525","5,250","9,270",,"2,515","1,749","3,271"
E10000008,,Devon,"7,705","2,925","4,780",,924,683,"1,173"
E10000009,,Dorset,"5,650","2,405","3,245",,"1,175",967,"1,397"
E10000013,,Gloucestershire,"13,620","4,935","8,685",,"2,175","1,562","2,798"
E06000053,,Isles of Scilly,45,20,25,,"1,940","1,495","2,388"
E06000024,,North Somerset,"3,605","1,075","2,530",,"1,748",974,"2,496"
E06000026,,Plymouth,"4,270","1,465","2,805",,"1,705","1,244","2,183"
E10000027,,Somerset,"8,560","2,965","5,595",,"1,537","1,010","2,063"
E06000025,,South Gloucestershire,"6,205","1,710","4,495",,"2,233","1,292","3,184"
E06000030,,Swindon,"2,800",945,"1,855",,"1,334",939,"1,725"
E06000027,,Torbay,"2,740",925,"1,815",,"2,009","1,255","2,772"
E06000054,,Wiltshire,"7,340","2,650","4,685",,"1,483","1,062","1,924"